Movie_Id,Year,Name,Genres,Primary_Genre,Genre_Source
1,2003.0,Dinosaur Planet,Drama,Drama,keyword
2,2004.0,Isle of Man TT 2004 Review,Drama,Drama,keyword
3,1997.0,Character,Drama,Drama,keyword
4,1994.0,Paula Abdul's Get Up & Dance,Drama,Drama,keyword
5,2004.0,The Rise and Fall of ECW,Drama,Drama,keyword
6,1997.0,Sick,Drama,Drama,keyword
7,1992.0,8 Man,Drama,Drama,keyword
8,2004.0,What the #$*! Do We Know!?,Drama,Drama,keyword
9,1991.0,Class of Nuke 'Em High 2,Drama,Drama,keyword
10,2001.0,Fighter,Action|Drama|Romance,Action,movielens
11,1999.0,Full Frame: Documentary Shorts,Documentary,Documentary,keyword
12,1947.0,My Favorite Brunette,Comedy|Mystery,Comedy,movielens
13,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,Drama,Drama,keyword
14,1982.0,Nature: Antarctica,Documentary,Documentary,keyword
15,1988.0,Neil Diamond: Greatest Hits Live,Drama,Drama,keyword
16,1996.0,Screamers,Action|Sci-Fi|Thriller,Action,movielens
17,2005.0,7 Seconds,Action|Crime|Thriller,Action,movielens
18,1994.0,Immortal Beloved,Drama|Romance,Drama,movielens
19,2000.0,By Dawn's Early Light,Action|Drama|Thriller,Action,movielens
20,1972.0,Seeta Aur Geeta,Drama,Drama,keyword
21,2002.0,Strange Relations,Drama,Drama,keyword
22,2000.0,Chump Change,Drama,Drama,keyword
23,2001.0,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,Drama,Drama,keyword
24,1981.0,My Bloody Valentine,Drama|Horror|Thriller,Drama,movielens
25,1997.0,Inspector Morse 31: Death Is Now My Neighbour,Drama,Drama,keyword
26,2004.0,Never Die Alone,Crime|Drama|Thriller,Crime,movielens
27,1962.0,Sesame Street: Elmo's World: The Street We Live On,Children,Children,keyword
28,2002.0,Lilo and Stitch,Drama,Drama,keyword
29,2001.0,Boycott,Drama,Drama,keyword
30,2003.0,Something's Gotta Give,Comedy|Drama|Romance,Comedy,movielens
31,1999.0,Classic Albums: Meat Loaf: Bat Out of Hell,Drama,Drama,keyword
32,2004.0,ABC Primetime: Mel Gibson's The Passion of the Christ,Drama,Drama,keyword
33,2000.0,Aqua Teen Hunger Force: Vol. 1,Drama,Drama,keyword
34,2003.0,Ashtanga Yoga: Beginner's Practice with Nicki Doane,Drama,Drama,keyword
35,2000.0,Ferngully 2: The Magical Rescue,Adventure|Animation|Children|Fantasy,Adventure,movielens
36,1992.0,Lady Chatterley,Drama|Romance,Drama,movielens
37,1973.0,Zatoichi's Conspiracy,Drama,Drama,keyword
38,2003.0,Daydream Obsession,Drama,Drama,keyword
39,2000.0,Love Reinvented,Romance,Romance,keyword
40,2004.0,Pitcher and the Pin-Up,Drama,Drama,keyword
41,2000.0,Horror Vision,Horror,Horror,keyword
42,2002.0,Searching for Paradise,Drama,Drama,keyword
43,2000.0,Silent Service,Drama,Drama,keyword
44,1996.0,Spitfire Grill,Drama,Drama,keyword
45,1999.0,The Love Letter,Fantasy|Romance,Fantasy,movielens
46,1964.0,Rudolph the Red-Nosed Reindeer,Adventure|Animation|Children|Fantasy|Musical,Adventure,movielens
47,1952.0,The Bad and the Beautiful,Drama,Drama,keyword
48,2001.0,Justice League,Drama,Drama,keyword
49,2003.0,Devo: The Complete Truth About De-evolution,Drama,Drama,keyword
50,1941.0,A Yank in the R.A.F.,Drama,Drama,keyword
51,2002.0,Jonah: A VeggieTales Movie: Bonus Material,Drama,Drama,keyword
52,2002.0,The Weather Underground,Drama,Drama,keyword
53,2003.0,The Bonesetter,Drama,Drama,keyword
54,1952.0,We're Not Married,Comedy|Romance,Comedy,movielens
55,1995.0,Jade,Thriller,Thriller,movielens
56,2004.0,Carandiru,Crime|Drama,Crime,movielens
57,1995.0,Richard III,Drama|War,Drama,movielens
58,1996.0,Dragonheart,Action|Adventure|Fantasy,Action,movielens
59,2003.0,Sex and the Beauties,Drama,Drama,keyword
60,1969.0,The Libertine,Drama,Drama,keyword
61,1999.0,Ricky Martin: One Night Only,Drama,Drama,keyword
62,1991.0,Ken Burns' America: Empire of the Air,Drama,Drama,keyword
63,1943.0,Crash Dive,Drama|Romance|War,Drama,movielens
64,2001.0,Outside the Law,Action,Action,movielens
65,2000.0,Lost in the Pershing Point Hotel,Drama,Drama,keyword
66,1989.0,Barbarian Queen 2,Drama,Drama,keyword
67,1997.0,Vampire Journals,Fantasy|Horror,Fantasy,movielens
68,2004.0,Invader Zim,Drama,Drama,keyword
69,2003.0,WWE: Armageddon 2003,Drama,Drama,keyword
70,1999.0,Tai Chi: The 24 Forms,Drama,Drama,keyword
71,1995.0,Maya Lin: A Strong Clear Vision,Documentary,Documentary,movielens
72,1974.0,"At Home Among Strangers, A Stranger Among His Own",Drama,Drama,keyword
73,1954.0,Davy Crockett: 50th Anniversary Double Feature,Drama,Drama,keyword
74,1999.0,6ixtynin9,Drama,Drama,keyword
75,1997.0,Grind,Action|Comedy,Action,movielens
76,1952.0,I Love Lucy: Season 2,Romance,Romance,keyword
77,1995.0,Congo,Action|Adventure|Mystery|Sci-Fi,Action,movielens
78,1996.0,Jingle All the Way,Children|Comedy,Children,movielens
79,1956.0,The Killing,Drama,Drama,keyword
80,1979.0,Winter Kills,Drama,Drama,movielens
81,1991.0,Antarctica: IMAX,Documentary,Documentary,keyword
82,1951.0,The Frogmen,Drama,Drama,keyword
83,1983.0,Silkwood,Drama,Drama,movielens
84,2002.0,The Powerpuff Girls Movie,Drama,Drama,keyword
85,2005.0,Elfen Lied,Drama,Drama,keyword
86,1996.0,Iron Monkey 2,Drama,Drama,keyword
87,2002.0,Louder Than Bombs,Drama,Drama,keyword
88,1998.0,Record of Lodoss War: Chronicles of the Heroic Knight,War,War,keyword
89,2000.0,Chain of Command,Action|Thriller,Action,movielens
90,1951.0,The Lemon Drop Kid,Drama,Drama,keyword
91,2005.0,WWE: Royal Rumble 2005,Drama,Drama,keyword
92,2002.0,ECW: Cyberslam '99,Drama,Drama,keyword
93,2004.0,They Came Back,Drama,Drama,keyword
94,2000.0,G3: Live in Concert,Documentary,Documentary,keyword
95,1985.0,Dona Herlinda and Her Son,Drama,Drama,keyword
96,2000.0,Inside the Space Station,Sci-Fi,Sci-Fi,keyword
97,2002.0,Mostly Martha,Drama,Drama,keyword
98,1965.0,The Battle of Algiers: Bonus Material,War,War,keyword
99,1989.0,A Fishy Story,Drama,Drama,keyword
100,1993.0,Sam the Iron Bridge,Drama,Drama,keyword
101,1997.0,Complete Shamanic Princess,Drama,Drama,keyword
102,2004.0,Notre Musique,Drama,Drama,keyword
103,1976.0,Sanford and Son: Season 6,Drama,Drama,keyword
104,1965.0,The Great Race,Drama,Drama,keyword
105,2002.0,Obsessed,Crime|Drama|Thriller,Crime,movielens
106,2004.0,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Drama,Drama,keyword
107,2000.0,Magnolia: Bonus Material,Drama,Drama,keyword
108,2004.0,Spartan,Thriller,Thriller,movielens
109,1996.0,No Way Back,Action|Crime|Drama|Thriller,Action,movielens
110,1989.0,Scandal,Drama,Drama,movielens
111,2003.0,Duplex (Widescreen),Drama,Drama,keyword
112,1993.0,The Eye of Vichy,Drama,Drama,keyword
113,2000.0,Bruce Lee: A Warrior's Journey,War,War,keyword
114,1989.0,Dominion Tank Police Part 1 & 2,Drama,Drama,keyword
115,1973.0,Lord Peter Wimsey: Murder Must Advertise,Thriller,Thriller,keyword
116,2004.0,Bear Cub,Drama,Drama,keyword
117,1957.0,Silk Stockings,Musical,Musical,movielens
118,1985.0,Rambo: First Blood Part II,Action|Adventure|Thriller,Action,movielens
119,1999.0,Travel the World by Train: Africa,Drama,Drama,keyword
120,2004.0,Plain Dirty,Drama,Drama,keyword
121,2003.0,Beyonce: Live at Wembley,Drama,Drama,keyword
122,2002.0,Cube 2: Hypercube,Horror|Mystery|Sci-Fi,Horror,movielens
123,2000.0,Chain of Fools,Comedy|Crime,Comedy,movielens
124,2000.0,Cold Blooded,Horror,Horror,keyword
125,1981.0,Nighthawks,Action|Drama,Action,movielens
126,2003.0,Vampire Effect (aka Twins Effect),Horror,Horror,keyword
127,1987.0,Fatal Beauty,Action|Comedy|Crime|Drama,Action,movielens
128,1985.0,Mr. Vampire,Horror,Horror,keyword
129,2003.0,Darkwolf,Horror,Horror,movielens
130,1999.0,Drowning on Dry Land,Drama,Drama,keyword
131,2002.0,Arachnid,Drama,Drama,keyword
132,1981.0,Lucio Fulci: The Beyond,Drama,Drama,keyword
133,2003.0,Viva La Bam: Season 1,Drama,Drama,keyword
134,1996.0,Spirit Lost,Drama,Drama,keyword
135,1998.0,GTO: Great Teacher Onizuka: Set 2,Drama,Drama,keyword
136,1927.0,Cat and the Canary,Drama,Drama,keyword
137,1998.0,Naked Lies,Drama,Drama,keyword
138,1995.0,Star Trek: Voyager: Season 1,Sci-Fi,Sci-Fi,keyword
139,2001.0,Allergies: A Natural Approach,Drama,Drama,keyword
140,1993.0,Lost in the Wild,Drama,Drama,keyword
141,2004.0,Goddess of Mercy,Drama,Drama,keyword
142,2000.0,The Tricky Master,Drama,Drama,keyword
143,1997.0,The Game,Drama,Drama,keyword
144,2000.0,Deepak Chopra: The Way of the Wizard & Alchemy,Drama,Drama,keyword
145,1978.0,Get Out Your Handkerchiefs,Drama,Drama,keyword
146,1988.0,Cannibal Women in the Avocado Jungle of Death,Action|Comedy,Action,movielens
147,1992.0,Where Sleeping Dogs Lie,Crime,Crime,movielens
148,2001.0,Sweet November,Drama|Romance,Drama,movielens
149,2005.0,The Edward R. Murrow Collection,War,War,keyword
150,2001.0,Firetrap,Drama,Drama,keyword
151,2005.0,Sleepover Nightmare,Horror,Horror,keyword
152,1995.0,A Little Princess,Drama,Drama,keyword
153,2002.0,MTV Yoga,Drama,Drama,keyword
154,2000.0,Demon Warrior Koji,Horror,Horror,keyword
155,1975.0,The Strongest Man in the World,Drama,Drama,keyword
156,1992.0,Husbands and Wives,Comedy|Drama,Comedy,movielens
157,2004.0,Laird: White Knuckle Extreme,Drama,Drama,keyword
158,2004.0,A Killer Within,Drama,Drama,keyword
159,1971.0,Gentlemen of Fortune,Drama,Drama,keyword
160,2000.0,Gormenghast,Drama,Drama,keyword
161,1939.0,Ninotchka,Comedy|Romance,Comedy,movielens
162,1968.0,John Cleese on How to Irritate People,Drama,Drama,keyword
163,2002.0,MTV: Making the Band 2: Best of Season 1,Drama,Drama,keyword
164,2003.0,One Last Dance,Drama,Drama,keyword
165,1982.0,Richard Pryor: Live on the Sunset Strip,Comedy|Documentary,Comedy,movielens
166,1980.0,Fame,Drama|Musical,Drama,movielens
167,2004.0,The Chorus,Drama,Drama,keyword
168,1983.0,Smokey and the Bandit Part 3,Drama,Drama,keyword
169,2004.0,Cartoon Network Halloween: 9 Creepy Cartoon Capers,Animation,Animation,keyword
170,1972.0,Tomorrow,Drama,Drama,keyword
171,1957.0,Funny Face,Comedy|Musical,Comedy,movielens
172,2003.0,Jack,Comedy|Drama,Comedy,movielens
173,1968.0,The Devil's Brigade,Horror,Horror,keyword
174,1968.0,Adam-12: Season 1,Drama,Drama,keyword
175,1992.0,Reservoir Dogs,Crime|Mystery|Thriller,Crime,movielens
176,2004.0,The History Channel Presents: Troy: Unearthing the Legend,Drama,Drama,keyword
177,2002.0,Pressure,Drama,Drama,keyword
178,1996.0,Regular Guys,Drama,Drama,keyword
179,2003.0,Bollywood Bound,Drama,Drama,keyword
180,2002.0,Scratch,Documentary,Documentary,movielens
181,2004.0,The Last Shot,Drama,Drama,keyword
182,2001.0,Moby: Play,Drama,Drama,keyword
